id,name,description,ability,base_skill,success_desc,failure_desc,ds_calc,craft_failure_desc,craft_success_desc
14,Deceive,Lying to or deceiving others through your words and body language.,Charisma,,"PS: Your lie is shaky but not immediately exposed. S: Your deception is believable to the average observer. ,Your lie is convincing even under moderate scrutiny. ,Your deception holds even under close examination. ,Your deception is seamless and undetectable, fooling even experts.","Lie unconvincing, minor suspicion., Lie immediately exposed. ,Life falls apart under questioning. ,Deception thoroughly debunked. ,Deception disastrously fails, severe consequences.",,,
15,Deduce,"Using often limited information to intuit and extrapolate conclusions, solve riddles, puzzles, and determine potential outcomes and strategies.",Intelligence,,,,,,
16,Calligraphy,"Forge or create signatures, documents, scripts, seals, and so on with forgery, and create documents and so on using calligraphy tools or forging. (Copying written materials, crafting written items or duplicating written items like books etc.)","Agility, Intelligence",13,"PS: The forgery is sloppy and easily detected. S: The forgery passes casual inspection. ,The forgery holds up under moderate scrutiny. ,The forgery is highly convincing, fooling most experts. ,The forgery is flawless and indistinguishable from the original.","Forgery flawed, minor inconsistencies., Forgery immediately detected. ,Forgery suspicious under scrutiny. ,Forgery debunked by experts. ,Forgery disastrously fails, legal repercussions.",,"Each failure reduces the item's potency by 2, damage by 1d4 if any, and duration by 1 minute if any. A critical failure causes the spell to backfire—negative effects impact you, while positive effects deal (1d10 × level) damage.","Each success grants one of the following: +1 Potency (maximum of 25), +1d4 Damage, +1 Minute of Effect (if already a spell that had duration) or +1d2 healing."
17,Glassblowing,"Blow molten glass into various configurations and forms with glassblowing tools and a source of extreme heat. (Eyewear, potions bottles, items of glass)","Strength, Vitality",13,"PS: The glass is fragile and misshapen. S: The object is functional but unremarkable. ,The glasswork is elegant and well-formed. ,The craftsmanship is exceptional, featuring intricate details. ,The glass creation is a masterpiece, rivaling legendary artisans.","Glass fragile, minor imperfections., Glass shatters, unusable. ,Noticeable flaws in the glasswork. ,Significant problems with the creation. ,Disastrous glassblowing, materials wasted.",,On Critical: ,"On Critical: Your creation can hold more volume than usual. Any potion or brew stored in this item has its damage increased by +1d4, healing by +1d2, or its duration by +1 min."
18,Haggle,"Convincing an individual an item is worth more or less than it is, and getting an agreed upon price.",Charisma,36,"PS: The target remains unconvinced. S: The target is open adjusting price by 5% ,The target is open adjusting price by 15% ,The target is open adjusting price by 20% ,The target is open adjusting price by 45%","The target remains unconvinced and may adjust the price 5% unfavorably., The target wishes to adjust thee price unfavorably 10% ,The target wishes to adjust the price unfavorably by 15% ,The target wishes to adjust the price unfavorably by 20% ,The target wishes to adjust the price unfavorably by 45% ,The target no longer wishes to trade.",,,
19,Harvest,,"Acuity, Agility, Charisma, Intelligence, Strength, Vitality",0,,,,,
20,Hide,"While staying still, blend in or stay out of sight, sound, and notice using strength, endurance, agility, and/or talent.","Strength, Vitality, Agility",42,"PS: You are hidden but vulnerable to detection. S: You remain unnoticed by casual observers. ,You are well-concealed, avoiding most searches. ,You are nearly invisible, avoiding even thorough searches. ,You are undetectable unless someone knows exactly where to look.","You are briefly spotted, minor risk., You are immediately detected. ,You are easily found with minimal effort. ,You are discovered after a brief search. ,You are easily located, no stealth achieved.",,,
21,History,"Determine and/or recall the history, root, source, or secrets of anything founded upon or directly relating to general world history through the use of personal knowledge, books, journals, and current and recent events.",Intelligence,,"PS: You recall vague or unreliable information. S: You remember the general history accurately. ,You recall key details and notable facts. ,You uncover deeper historical context or hidden knowledge. ,You recall obscure, rare, or secret information with certainty.","Recall inaccurate information, minor misunderstanding., Unable to recall any relevant history. ,Recall incorrect details, misleading information. ,Significant historical inaccuracies. ,Grossly misinterpret history, potentially harmful.",,,
22,Insight,"Interpreting and understanding the true meaning or intent behind a creature's actions or words using body language, mannerisms, hesitation, shakiness, and other tells.",Charisma,,"PS: You gain a vague impression of the creature’s intent. S: You understand the creature’s general motivations. ,You discern subtle hints and underlying emotions. ,You accurately predict the creature’s next actions. ,You fully understand the creature’s thoughts and motivations.","Misinterpret target's intentions, minor miscalculation., Completely misjudged target's motivations. ,Fail to understand key emotions or intentions. ,Significant misunderstanding of target's true nature. ,Grossly inaccurate assessment of target's motives.",,,
23,Entertain,"Entertain using instrument(s), dancing, or other methods. Perform dances in any style using innate fitness, skill, poise, rhythm, and talent. You recognize different styles of dance and can recall information regarding them. You can play an instrument with proficiency.","Charisma, Agility",35,Same as base skill,Same as base skill,,,
24,Intimidate,"Intimidate an individual or group into taking or not taking a course of action using threats, body language, and general appearance.","Charisma, Strength, Vitality",,"PS: The target is slightly unnerved but does not change behavior. S: The target hesitates and is wary of you. ,The target fears you and may comply with minor requests. ,The target is deeply unsettled and obeys most commands. ,The target is terrified and will go to great lengths to avoid conflict.","Target slightly unnerved, minor hesitation., Target unaffected, ignores you. ,Target becomes wary or cautious. ,Target becomes fearful, may back down. ,Target terrified, likely to flee or submit.",,,
25,Investigate,"Interpret and learn more about something non-living up close by using touch and potentially other senses, and manipulating or testing it.","Acuity, Intelligence",,"PS: You gather vague or incomplete information. S: You obtain clear and basic details. ,You uncover useful and relevant information. ,You discern hidden aspects or deeper insights. ,You fully analyze and understand every important detail.","Gather incomplete information, minor confusion., Unable to find any useful information. ,Misinterpret clues, minor misdirection. ,Overlook key details, significant misunderstanding. ,Grossly misinterpret the situation, potentially harmful.",,,
26,Jewelcraft,"Embed gems and jewels into materials, finely cut crystals, gems, and stones with stone cutting tools and jeweler's tools. (Necklaces, and jewelry)","Agility, Acuity, Intelligence",13,"PS: The work is rough and lacks precision. S: The piece is well-crafted and aesthetically pleasing. ,The piece is expertly made with minor enhancements. ,The piece is masterfully crafted, showcasing remarkable beauty and durability. ,The piece is a legendary work of craftsmanship with unique properties.","Work flawed, minor imperfections., Work completely falls apart, unusable. ,Noticeable blemishes in the piece. ,Significant flaws detract from the work. ,Disastrous creation, materials wasted.",,On Critical: ,On Critical: Any power placed on this item as an enchantment has its effects increased based on the gemstone involved. Choose either +1d4 damage of the gemstone's type or +1 level to a power part of the gem's type.
27,Leatherwork,"Create, mend, or modify leather armor, clothing, and accessories with leatherworking supplies, tailor supplies, or a sewing kit. (Boots, Gloves, Armor without Strength requirement above 1, saddles, some weapons)","Agility, Strength",13,"PS: The item is crude and barely functional. S: The item is well-made and fully usable. ,The piece is reinforced or aesthetically appealing. ,The craftsmanship is outstanding with superior durability. ,The work is a masterpiece, featuring intricate designs and exceptional quality.","Item flawed, minor issues., Item completely unusable. ,Noticeable imperfections in the leatherwork. ,Significant problems with the creation. ,Disastrous leatherworking, materials wasted.",,On Critical: ,"On Critical: The item's storage capacity is 150%, or it gains the slashing resistance armor part."
28,Lockpick,"Picking locks, spinning combinations, or cracking mechanical codes using a set of lockpicking tools.",Agility,40,",Pick the lock in 10 minutes. Each degree of success after 1 reduces the time to pick the lock by 2 minutes."," Fail to pick the lock after 10 minutes. ,Waste 2 minutes. ,Waste 4 minutes. ,Waste 6 minutes. ,Lockpick breaks. 5: Lockpick breaks, lock harder to pick.",,,
29,Lore,"Determine and/or recall the history, root, source, or secrets of anything founded upon or directly relating to a specific set, part, or portion of history through the use of personal knowledge, books, journals, and current and recent events. This knowledge is considered deeper than a general world history and can relate directly to religion, civilization, cults, people, clans, etc.",Intelligence,21,"PS: Recall vague or incomplete knowledge. S: Recall useful general information. ,Recall notable facts and details. ,Uncover rare or hidden knowledge. ,Recall obscure, secret, or lost information with certainty.","Recall inaccurate information, minor misunderstanding., Unable to recall any relevant lore. ,Recall incorrect details, misleading information. ,Significant inaccuracies in recalled lore. ,Grossly misinterpret lore, potentially harmful.",,,
30,Medicine,"Examine wounds, heal targets, seek to understand symptoms, and diagnose ailments with medical supplies. Healing requires medical materials such as bandages and stacks with any base healing these items can do.",Intelligence,,"PS: The treatment is crude, offering minimal relief. S: The target is stabilized and begins healing. ,Heal the target for 1d4 and determine general symptoms. ,Heal an additional 1d8 and diagnose the ailment with confidence. ,Heal an additional 1d10, accurately diagnose the ailment, and retain medical supplies used.","Treatment ineffective, minor discomfort., Treatment worsens the condition. ,Waste medical supplies. ,Deal 1d4 damage. ,Deal 1d8 damage. ,Deal 2d8 damage. 5: Deal 3d8 damage. 6: Deal 4d8 damage, permanent deformity.","With a base DS of 10, add +1 for each 1/4th below the maximum Health the target is (including in the negative), +5 if the target is of unfamiliar anatomy (not of similar species but still same creature type,) +10 instead if the creature is of unknown anatomy (not of same creature type or general body shape and/or makeup.",,
31,Motivate,"Instilling courage, confidence, or determination in an individual or group through encouraging words, actions, and presence. This skill bolsters morale, helping others overcome fear or doubt and motivating them to push forward even in challenging circumstances.",Charisma,36,"PS: The encouragement has little effect. S: The target is reassured and gains slight confidence. ,The target is inspired to act decisively. ,The target is strongly motivated and performs better under pressure. ,The target is fully emboldened, capable of remarkable feats.","Encouragement has little to no effect., Target becomes demoralized. ,Target doubts your encouragement. ,Target actively rejects your motivation. ,Target becomes disheartened, performance worsens.",,,
32,Nature,"Determine the general characteristics of plants, animals, ecosystems, and other aspects of the natural world using knowledge of nature.",Intelligence,,"PS: Recognize basic natural elements. S: Identify common flora, fauna, and geographical features. ,Understand ecological interactions and lesser-known species. ,Uncover rare knowledge or hidden natural patterns. ,Possess deep, nearly instinctual knowledge of nature, able to predict and manipulate natural phenomena.","Misidentify natural elements, minor miscalculation., Unable to identify anything in nature. ,Misjudge key features of flora or fauna. ,Significant misunderstanding of natural interactions. ,Grossly misinterpret natural phenomena, potentially dangerous.",,,
33,Navigate,"Navigate using the stars, sun, maps, compasses, and other cartography tools.",Intelligence,,"Each degree of success means you will not need to repeat this roll for 1 hour while navigating. For every 3 degrees of success, you may travel a 2-hour distance over 1 hour.","Waste 15 minutes., Lose 1 hour. ,Lose 2 hours. ,Lost, CD increases.",,,
34,Perceive,"Interpret your surroundings consciously and generally as you stay still, including close and far-away stimuli, using sight, smell, temperature, sound, and other senses not involving touch or manipulation.",Acuity,,"PS: Notice minor details but miss critical information. S: Detect important environmental cues. ,Recognize hidden or subtle stimuli. ,Discern patterns and predict events. ,Gain near-perfect situational awareness.","Overlook crucial details, minor miscalculation., Fail to notice anything significant. ,Miss important environmental cues. ,Misinterpret sensory information. ,Grossly misjudged the situation, potentially dangerous.",,,
35,Perform,"Gaining the confidence, trust, favor, and/or desire of a group of people through some form of performance such as singing, dancing, acting, poetry, etc.",Charisma,,"PS: The audience is indifferent or unimpressed. S: The performance is competent and engaging. ,The audience is entertained and responsive. ,The performance is remarkable, drawing strong admiration. ,The performance is legendary, captivating and inspiring all who witness it.","Audience unimpressed, minor embarrassment., Performance booed or ridiculed. ,Audience bored or disinterested. ,Performance poorly received, potential repercussions. ,Performance disastrous, severe social consequences.",,,
36,Persuade,"Convincing an individual to take or not take a course of action they may or may not want to do through words, body language, and mannerisms.",Charisma,,"PS: The target remains unconvinced but not hostile. S: The target is open to your argument. ,The target leans toward your desired outcome. ,The target is convinced and willing to comply. ,The target is fully persuaded, embracing your viewpoint wholeheartedly.","Target remains unconvinced, minor disagreement., Target becomes hostile or offended. ,Target actively resists your persuasion. ,Target strongly disagrees, potential conflict. ,Target deeply offended, severe repercussions.",,,
37,Pickpocket,"Taking something out or putting something into a pocket, bag, or any reasonable location on another without being noticed.",Agility,40,"PS: The target is suspicious but does not immediately notice. S: The target does not notice the theft for 1 minute. ,The target does not notice for 10 minutes. ,The target does not notice for 1 hour. ,The target does not notice for 2 hours."," Target notices immediately. ,Target suspects you. ,Target knows you took something. ,Target knows what you took.",,,
38,Supplicate,"Offering prayer or supplication/plea for answers, aid, or otherwise to a being of power or worship.",Charisma,,"PS: Your prayer is acknowledged but goes unanswered. S: You receive minor guidance or comfort. ,You gain insight or a small blessing. ,Your plea is answered with tangible aid or knowledge. ,A divine presence intervenes, granting significant aid.","Prayer unanswered, minor disappointment., Prayer rejected, potential divine disfavor. ,Receive misleading guidance. ,Plea ignored, no divine intervention. ,Divine wrath or punishment.",,,
39,Search,"Broadly or specifically sweep a large or small area as you move, seeking to find anything out of the ordinary or of potential or specific interest using sight, smell, temperature, sound, and other senses not involving touch or manipulation.",Acuity,34,"PS: You find minor details but miss key information. S: You locate what you were searching for. ,You discover additional useful details. ,You uncover hidden or hard-to-detect objects. ,You find everything possible, even secret or concealed elements.","Find minor details, miss key information., Unable to find anything of significance. ,Overlook crucial clues. ,Miss hidden or concealed objects. ,Grossly misinterpret the search area, potentially dangerous.",,,
40,Sleight of Hand,"Concealing something, palming something, handing something off, or preparing to attack discreetly. This also encompasses dexterously tying knots and other work requiring fine motor skills and agility.",Agility,,"PS: Your movement is clumsy but not immediately detected. S: You successfully execute the trick. ,You do not need to repeat this roll for 10 minutes. ,You do not need to repeat this roll for 20 minutes. ,You do not need to repeat this roll for 30 minutes."," Target notices immediately. ,Target suspects you. ,Target knows you concealed something. ,Target knows what you concealed.",,,
41,Smith,"Forge and shape metals into weapons, armor, and other items with smith's tools and often extreme heat. (Gauntlets, Shields, Weapons, Armor with Strength requirement above 1)","Strength, Vitality",13,"PS: The item is crude and barely functional. S: The item is properly forged and usable. ,The item is sturdy and well-crafted. ,The craftsmanship is superior, with added durability or effectiveness. ,The item is a masterpiece, revered by smiths.","Item flawed, minor weaknesses., Item completely unusable. ,Noticeable imperfections in the metalwork. ,Significant problems with the creation. ,Disastrous smithing, materials wasted.",,On Critical: ,"On Critical: The item's weight is halved, or it gets +1d2 damage."
42,Stealth,"Sneak, speak, or move subtly and without notice using physical agility and talent.",Agility,,"PS: You are partially concealed but may be noticed. S: You remain undetected. ,You move silently and stay hidden even under mild scrutiny. ,You avoid detection even under close inspection. ,You are effectively invisible, blending perfectly into the surroundings.","Briefly spotted, minor risk of detection., Immediately detected. ,Easily found with minimal effort. ,Discovered after a brief search. ,Easily located, no stealth achieved.",,,
43,Tailor,"Sew, create, and/or mend various articles of clothing or textiles with tailor supplies or a sewing kit. (Clothing, gloves, headware, cloaks)",Agility,13,"PS: The stitching is weak or uneven. S: The piece is functional and properly made. ,The garment is well-made with minor enhancements. ,The item is high-quality and stylish. ,The work is masterful, worthy of nobility or fame.","Item flawed, minor issues., Item completely unusable. ,Noticeable imperfections in the tailoring. ,Significant problems with the creation. ,Disastrous tailoring, materials wasted.",,On Critical: ,On Critical: Any power placed on this item gets +1 level to its Charm or Defense parts.
44,Tinker,"Repair, create, modify, and tinker with small machinery or robotics using tinker tools and/or various scraps/mechanical parts. (Hand slot items, crafting other useful utility items and usually other toolsets) Create construct companions.","Agility, Intelligence",13,"PS: The device barely works but may fail. S: The device functions properly. ,The device operates efficiently with small improvements. ,The device is highly refined with notable enhancements. ,The device is groundbreaking, near-perfect in function.","Device flawed, minor malfunctions., Device completely breaks down. ,Noticeable imperfections in the tinkering. ,Significant problems with the creation. ,Disastrous tinkering, materials wasted.",,On Critical: ,On Critical: This item gains +1 level to one of its item properties or a Utility or General power part.
45,Tame,"Train, bond, or domesticate an animal or beast to follow commands or act in a controlled manner.",Charisma,2,"PS: The creature is uneasy and may resist. S: The creature follows basic commands. ,The creature is obedient and reliable. ,The creature is well-trained and responds quickly. ,The bond is deep, and the creature acts with instinctual trust.","Animal uneasy, resists commands., Animal becomes hostile or fleas. ,Animal disobedient, unreliable. ,Animal difficult to control. ,Animal uncontrollable, potential danger.",,,
46,Taunt,"Aggravate, enrage, mock, or scorn an individual or group. This skill can only cause one individual to be taunted with you at base DS equal to the creature's resolve, or a group with DS equal to resolve +5. Creature's taunted this way are much more likely to attack or take aggressive action at the creature taunting them, but can still choose to take other actions. This lasts only one round unless RM rules otherwise.",Charisma,,"PS: The target is mildly irritated but otherwise unaffected. S: The target is provoked and slightly distracted. ,The target is visibly angered and more likely to make rash decisions. ,The target is furious and may act irrationally. ,The target is consumed by rage, prioritizing you above all else.","Target unimpressed, minor social awkwardness., Target actively dislikes you. ,Target offended or slightly hostile. ,Target strongly dislikes you, potential repercussions. ,Target consumed by rage, violent reaction.",,,
47,Track,"Track down a creature using senses of sight, smell, feel, and taste when necessary. The longer it's been since present, the harder it is to track.","Acuity, Intelligence",,"PS: You find minor traces but lose the trail. S: You locate clear signs and follow them for a few minutes, but then need to repeat the roll. ,You do not need to repeat this roll for 10 minutes. ,You do not need to repeat this roll for 20 minutes. ,You do not need to repeat this roll for 30 minutes and can predict movement patterns.","Lose the trail, minor setback., Unable to find any tracks. ,Waste 1 hour. ,Waste 2 hours, lost, CD increases.",,,
48,Triage,Emergency or urgent medical care to fatally afflicted creatures using more drastic or urgent methods.,Intelligence,30,"PS: The treatment is unstable but slows deterioration, does not take next instance of dying damage. S: The target is stabilized and begins recovery. ,Each degree of success heals the target for 1d4. ,Heal an additional 1d12. ,Heal an additional 2d12 and retain the supplies used for healing.","Treatment ineffective, condition worsens., Target dies. ,Waste medical supplies. ,Deal 1d6 damage. ,Deal 1d12 damage. ,Deal 2d12 damage. 5: Deal 3d12 damage, permanent deformity. 6: Deal 4d12 damage, permanent deformity.","DS: With a base DS of 8, add +1 for each 1/4th below the maximum Health the target is (including in the negative), +5 if the target is of unfamiliar anatomy (not of similar species but still same creature type,) +10 instead if the creature is of unknown anatomy (not of same creature type or general body shape and/or makeup.",,
49,Vehicle,Operate a vehicle and have knowledge of its workings. Have an understanding of how to command a crew to operate the vehicle if required. This can be treated as a subskill of animal handling if using drawn vehicles.,"Acuity, Agility, Charisma, Intelligence, Strength, Vitality",,"PS: The vehicle moves but is difficult to control. S: The vehicle is handled competently. ,The vehicle is maneuvered skillfully. ,The vehicle is operated with expert precision. ,The vehicle is controlled masterfully, even in extreme conditions.","Vehicle difficult to control, minor risk., Vehicle crashes or becomes unusable. ,Vehicle damaged or nearly crashes. ,Significant control issues, potential danger. ,Complete loss of control, catastrophic consequences.",,,
50,Woodworking,"Craft or repair items from wood, such as furniture, weapons, and tools with woodcarving, carpentry, or woodworking tools. (Some weapons, most ranged weapons, other utility items)",Agility,13,"PS: The work is rough and barely functional. S: The piece is sturdy and well-made. ,The craftsmanship is solid with artistic details. ,The object is of high quality and durability. ,The work is an artistic masterpiece, admired for both beauty and function.","Item flawed, minor issues., Item completely unusable. ,Noticeable imperfections in the woodwork. ,Significant problems with the creation. ,Disastrous woodworking, materials wasted.",,On Critical: ,"On Critical: Any power placed on or used through this item gains +1 level to its Summoning or Adaptation parts. Alternatively, attacks made with this item get +1 level to range."
